record_id,title,reviewer1_system_type,reviewer2_system_type,adjudicated_system_type,reviewer1_tier,reviewer2_tier,adjudicated_tier,reviewer1_zi,reviewer2_zi,adjudicated_zi,reviewer1_underlying_model_release_type,reviewer2_underlying_model_release_type,adjudicated_underlying_model_release_type,archetype,adjudication_note
A014,Synthetic Managerial Agents: A Multi-LLM Ensemble Framework for Computational Agent-Based Theory Exploration,N,T,N,0,1,0,01000,01000,01000,closed-source/API-based,closed-source/API-based,closed-source/API-based,Environment and governance substrate,mismatch reviewed conservatively; freeze label retained
A015,EFS: Evolutionary Factor Searching for Sparse Portfolio Optimization Using Large Language Models,A,A,A,1,2,1,11111,11111,11111,closed-source/API-based,closed-source/API-based,closed-source/API-based,Evaluator-coupled artifact search,mismatch reviewed conservatively; freeze label retained
A016,HARLF: Hierarchical Reinforcement Learning and Lightweight LLM-Driven Sentiment Integration for Financial Portfolio Optimization,N,T,N,1,2,1,11110,11110,11110,open-weight,open-weight,open-weight,Context-to-decision,mismatch reviewed conservatively; freeze label retained
A017,Language Model Guided Reinforcement Learning in Quantitative Trading,N,T,N,1,1,1,11011,11011,11011,closed-source/API-based,closed-source/API-based,closed-source/API-based,Context-to-decision,mismatch reviewed conservatively; freeze label retained
A018,Sentiment-Aware Mean-Variance Portfolio Optimization for Cryptocurrencies,N,T,N,1,1,1,11010,11010,11010,closed-source/API-based,closed-source/API-based,closed-source/API-based,Context-to-decision,mismatch reviewed conservatively; freeze label retained
A019,QuantAgent: Price-Driven Multi-Agent LLMs for High-Frequency Trading,T,T,T,1,1,1,11011,11011,11011,unspecified,unspecified,unspecified,Environment and governance substrate,freeze label retained
A020,From Text to Returns: Using Large Language Models for Mutual Fund Portfolio Optimization and Risk-Adjusted Allocation,N,T,N,1,1,1,00000,00000,00000,open-weight,open-weight,open-weight,Context-to-decision,mismatch reviewed conservatively; freeze label retained
A021,WebCryptoAgent: Agentic Crypto Trading with Web Informatics,A,A,A,1,2,1,11111,11111,11111,closed-source/API-based,closed-source/API-based,closed-source/API-based,Role-decomposed organizations,mismatch reviewed conservatively; freeze label retained
A022,TradingGPT: Multi-Agent System with Layered Memory and Distinct Characters for Enhanced Financial Trading Performance,T,T,T,0,1,0,10000,10000,10000,closed-source/API-based,closed-source/API-based,closed-source/API-based,Environment and governance substrate,mismatch reviewed conservatively; freeze label retained
A023,FinMem: A Performance-Enhanced LLM Trading Agent with Layered Memory and Character Design,T,T,T,1,1,1,11100,11100,11100,mixed,mixed,mixed,Environment and governance substrate,freeze label retained
A024,TradingAgents: Multi-Agents LLM Financial Trading Framework,A,A,A,1,2,1,11110,11110,11110,unspecified,unspecified,unspecified,Role-decomposed organizations,mismatch reviewed conservatively; freeze label retained
A025,Alpha-GPT: Human-AI Interactive Alpha Mining for Quantitative Investment,A,A,A,2,2,2,11110,11110,11110,closed-source/API-based,closed-source/API-based,closed-source/API-based,Evaluator-coupled artifact search,freeze label retained
A026,QuantAgent: Seeking Holy Grail in Trading by Self-Improving Large Language Model,A,A,A,2,2,2,11110,11110,11110,unspecified,unspecified,unspecified,Evaluator-coupled artifact search,freeze label retained
A027,BloombergGPT: A Large Language Model for Finance,N,N,N,0,1,0,11000,11000,11000,open-weight,open-weight,open-weight,Environment and governance substrate,mismatch reviewed conservatively; freeze label retained
A028,FinGPT: Open-Source Financial Large Language Models,N,N,N,0,1,0,11000,11000,11000,unspecified,unspecified,unspecified,Environment and governance substrate,mismatch reviewed conservatively; freeze label retained
A029,Instruct-FinGPT: Financial Sentiment Analysis by Instruction Tuning of General-Purpose Large Language Models,N,N,N,0,1,0,01000,01000,01000,mixed,mixed,mixed,Environment and governance substrate,mismatch reviewed conservatively; freeze label retained
A030,Alpha-GPT 2.0: Human-in-the-Loop AI for Quantitative Investment,A,A,A,0,0,0,00010,00010,00010,unspecified,unspecified,unspecified,Evaluator-coupled artifact search,freeze label retained
A031,Evolving Financial Trading Strategies with Vectorial Genetic Programming,N,T,N,1,2,1,11110,11110,11110,unspecified,unspecified,unspecified,Environment and governance substrate,mismatch reviewed conservatively; freeze label retained
A032,Navigating the Alpha Jungle: An LLM-Powered MCTS Framework for Formulaic Factor Mining,A,A,A,2,2,2,11110,11110,11110,closed-source/API-based,closed-source/API-based,closed-source/API-based,Evaluator-coupled artifact search,freeze label retained
A033,"PIXIU: A Large Language Model, Instruction Data and Evaluation Benchmark for Finance",N,N,N,0,1,0,11001,11001,11001,unspecified,unspecified,unspecified,Environment and governance substrate,mismatch reviewed conservatively; freeze label retained
A034,Qlib: An AI-oriented Quantitative Investment Platform,N,T,N,0,1,0,01110,01110,01110,unspecified,unspecified,unspecified,Environment and governance substrate,mismatch reviewed conservatively; freeze label retained
A035,Reflexion: Language Agents with Verbal Reinforcement Learning,N,T,N,0,1,0,01000,01000,01000,unspecified,unspecified,unspecified,Environment and governance substrate,mismatch reviewed conservatively; freeze label retained
A036,"BBT-Fin: Comprehensive Construction of Chinese Financial Domain Pre-trained Language Model, Corpus and Benchmark",N,N,N,0,1,0,01000,01000,01000,open-weight,open-weight,open-weight,Environment and governance substrate,mismatch reviewed conservatively; freeze label retained
A037,"A Survey of Large Language Models for Financial Applications: Progress, Prospects and Challenges",N,N,N,0,0,0,10001,10001,10001,unspecified,unspecified,unspecified,Environment and governance substrate,freeze label retained
A038,Temporal Data Meets LLM: Explainable Financial Time Series Forecasting,N,T,N,0,1,0,11000,11000,11000,mixed,mixed,mixed,Environment and governance substrate,mismatch reviewed conservatively; freeze label retained
A039,AutoAlpha: an Efficient Hierarchical Evolutionary Algorithm for Mining Alpha Factors in Quantitative Investment,N,T,N,2,2,2,11110,11110,11110,unspecified,unspecified,unspecified,Evaluator-coupled artifact search,mismatch reviewed conservatively; freeze label retained
A040,XuanYuan 2.0: A Large Chinese Financial Chat Model with Hundreds of Billions Parameters,N,N,N,0,1,0,00000,00000,00000,open-weight,open-weight,open-weight,Environment and governance substrate,mismatch reviewed conservatively; freeze label retained
A041,Can Large Language Models Mine Interpretable Financial Factors More Effectively? A Neural-Symbolic Factor Mining Agent Model,A,A,A,1,2,1,11111,11111,11111,closed-source/API-based,closed-source/API-based,closed-source/API-based,Evaluator-coupled artifact search,mismatch reviewed conservatively; freeze label retained
A042,AlphaForge: A Framework to Mine and Dynamically Combine Formulaic Alpha Factors,N,T,N,1,2,1,11110,11110,11110,unspecified,unspecified,unspecified,Evaluator-coupled artifact search,mismatch reviewed conservatively; freeze label retained
A043,FinRL-Meta: Market Environments and Benchmarks for Data-Driven Financial Reinforcement Learning,N,A,N,1,2,1,11111,11111,11111,unspecified,unspecified,unspecified,Environment and governance substrate,mismatch reviewed conservatively; freeze label retained
A044,FinVis-GPT: A Multimodal Large Language Model for Financial Chart Analysis,N,T,N,0,1,0,01010,01010,01010,closed-source/API-based,closed-source/API-based,closed-source/API-based,Environment and governance substrate,mismatch reviewed conservatively; freeze label retained
A045,GPT-Signal: Generative AI for Semi-automated Feature Engineering in the Alpha Research Process,T,T,T,1,1,1,11000,11000,11000,closed-source/API-based,closed-source/API-based,closed-source/API-based,Evaluator-coupled artifact search,freeze label retained
A046,FinTral: A Family of GPT-4 Level Multimodal Financial Large Language Models,N,T,N,0,1,0,01001,01001,01001,open-weight,open-weight,open-weight,Environment and governance substrate,mismatch reviewed conservatively; freeze label retained
A047,Autonomous Sparse Mean-CVaR Portfolio Optimization,N,N,N,2,2,2,11110,11110,11110,unspecified,unspecified,unspecified,Context-to-decision,freeze label retained
A048,Revolutionizing Finance with LLMs: An Overview of Applications and Insights,N,N,N,0,1,0,01001,01001,01001,closed-source/API-based,closed-source/API-based,closed-source/API-based,Environment and governance substrate,mismatch reviewed conservatively; freeze label retained
A049,Advanced Deep Learning Techniques for Analyzing Earnings Call Transcripts: Methodologies and Applications,N,T,N,0,1,0,11000,11000,11000,open-weight,open-weight,open-weight,Environment and governance substrate,mismatch reviewed conservatively; freeze label retained
A050,FinVision: A Multi-Agent Framework for Stock Market Prediction,A,A,A,1,1,1,11010,11010,11010,closed-source/API-based,closed-source/API-based,closed-source/API-based,Role-decomposed organizations,freeze label retained
A051,FinSphere: a real-time stock analysis agent with instruction-tuned large language models and domain-specific tool integration,T,T,T,0,1,0,01000,01000,01000,open-weight,open-weight,open-weight,Environment and governance substrate,mismatch reviewed conservatively; freeze label retained
A052,Adaptive and Explainable Margin Trading via Large Language Models on Portfolio Management,N,T,N,2,2,2,11110,11110,11110,mixed,mixed,mixed,Context-to-decision,mismatch reviewed conservatively; freeze label retained
A053,Automated Trading Framework Using LLM-Driven Features and Deep Reinforcement Learning,N,T,N,2,1,2,11010,11010,11010,unspecified,unspecified,unspecified,Context-to-decision,mismatch reviewed conservatively; freeze label retained
A054,"Large Language Model Agents for Investment Management: Foundations, Benchmarks, and Research Frontiers",N,T,N,0,1,0,01000,01000,01000,unspecified,unspecified,unspecified,Environment and governance substrate,mismatch reviewed conservatively; freeze label retained
A055,Language Model Orchestrated Financial Agents: An Open-Source Framework,T,T,T,0,1,0,00010,00010,00010,unspecified,unspecified,unspecified,Environment and governance substrate,mismatch reviewed conservatively; freeze label retained
A056,Stock portfolio selection based on risk appetite: Evidence from ChatGPT,N,N,N,1,1,1,11000,11000,11000,closed-source/API-based,closed-source/API-based,closed-source/API-based,Context-to-decision,freeze label retained
A058,Harnessing ChatGPT for predictive financial factor generation: A new frontier in financial analysis and forecasting,N,N,N,1,1,1,11000,11000,11000,closed-source/API-based,closed-source/API-based,closed-source/API-based,Evaluator-coupled artifact search,freeze label retained
A059,RA-CFGPT: Chinese financial assistant with retrieval-augmented large language model,T,T,T,0,1,0,01001,01001,01001,open-weight,open-weight,open-weight,Environment and governance substrate,mismatch reviewed conservatively; freeze label retained
A060,Finance-specific large language models: Advancing sentiment analysis and return prediction with LLaMA 2,N,N,N,1,1,1,11000,11000,11000,open-weight,open-weight,open-weight,Environment and governance substrate,freeze label retained
A061,A Two-Stage Framework for Stock Price Prediction: LLM-Based Forecasting with Risk-Aware PPO Adjustment,N,T,N,1,1,1,11000,11000,11000,unspecified,unspecified,unspecified,Context-to-decision,mismatch reviewed conservatively; freeze label retained
A062,Parallel Market Environments for FinRL Contests,N,T,N,2,2,2,11110,11110,11110,open-weight,open-weight,open-weight,Environment and governance substrate,mismatch reviewed conservatively; freeze label retained
A063,Leveraging Large Language Models for Institutional Portfolio Management: Persona-Based Ensembles,N,T,N,1,1,1,11000,11000,11000,closed-source/API-based,closed-source/API-based,closed-source/API-based,Context-to-decision,mismatch reviewed conservatively; freeze label retained
A064,FinRL Contests: Data‐Driven Financial Reinforcement Learning Agents for Stock and Crypto Trading,N,T,N,2,2,2,11110,11110,11110,unspecified,unspecified,unspecified,Environment and governance substrate,mismatch reviewed conservatively; freeze label retained
A065,Customized FinGPT Search Agents Using Foundation Models,T,T,T,0,1,0,01010,01010,01010,mixed,mixed,mixed,Environment and governance substrate,mismatch reviewed conservatively; freeze label retained
A066,"Vision, Voice, and Text: Pioneering Zero-shot Multimodal LLMs for Sentiment-driven Investment",N,T,N,1,1,1,01000,01000,01000,unspecified,unspecified,unspecified,Context-to-decision,mismatch reviewed conservatively; freeze label retained
A067,FinMCP-Bench: Benchmarking LLM Agents for Real-World Financial Tool Use under the Model Context Protocol,T,T,T,0,1,0,01000,01000,01000,open-weight,open-weight,open-weight,Environment and governance substrate,mismatch reviewed conservatively; freeze label retained
A068,Adaptive LLM-based multi-agent systems to enhance quantitative trading performance,A,A,A,2,2,2,11111,11111,11111,unspecified,unspecified,unspecified,Environment and governance substrate,freeze label retained
A069,Can Large Language Models Effectively Process and Execute Financial Trading Instructions?,T,T,T,0,1,0,01011,01011,01011,unspecified,unspecified,unspecified,Environment and governance substrate,mismatch reviewed conservatively; freeze label retained
A070,AlphaAgent: LLM-Driven Alpha Mining with Regularized Exploration to Counteract Alpha Decay,A,A,A,2,2,2,11111,11111,11111,closed-source/API-based,closed-source/API-based,closed-source/API-based,Evaluator-coupled artifact search,freeze label retained
A071,Toward a unified agentic framework for regime-aware portfolio optimization with LLM signals,A,T,A,2,2,2,11111,11111,11111,open-weight,open-weight,open-weight,Environment and governance substrate,mismatch reviewed conservatively; freeze label retained
A072,FactorMAD: A Multi-Agent Debate Framework Based on Large Language Models for Interpretable Stock Alpha Factor Mining,A,A,A,2,2,2,11111,11111,11111,unspecified,unspecified,unspecified,Evaluator-coupled artifact search,freeze label retained
A073,LLM-Guided Evolutionary Strategy Generation for Quantitative Trading,A,T,A,1,1,1,11011,11011,11011,unspecified,unspecified,unspecified,Evaluator-coupled artifact search,mismatch reviewed conservatively; freeze label retained
A074,GWise: A Graph-Structured Multi-Agent Framework for Service-Oriented and Generative-AI-Enabled Financial Trading Analytics,A,T,A,1,1,1,11011,11011,11011,unspecified,unspecified,unspecified,Environment and governance substrate,mismatch reviewed conservatively; freeze label retained
A075,TradingGroup: A Multi-Agent Trading System with Self-Reflection and Data-Synthesis,A,A,A,2,2,2,11111,11111,11111,open-weight,open-weight,open-weight,Role-decomposed organizations,freeze label retained
A076,AlphaQuanter: An End-to-End Tool-Orchestrated Agentic Reinforcement Learning Framework for Stock Trading,A,A,A,2,2,2,11111,11111,11111,open-weight,open-weight,open-weight,Environment and governance substrate,freeze label retained
A077,Toward Expert Investment Teams: A Multi-Agent LLM System with Fine-Grained Trading Tasks,A,A,A,1,2,1,11111,11111,11111,unspecified,unspecified,unspecified,Role-decomposed organizations,mismatch reviewed conservatively; freeze label retained
A078,R&D-Agent-Quant: A Multi-Agent Framework for Data-Centric Factors and Model Joint Optimization,A,A,A,2,2,2,11111,11111,11111,unspecified,unspecified,unspecified,Evaluator-coupled artifact search,freeze label retained
A079,Automate Strategy Finding with LLM in Quant Investment,A,T,A,2,2,2,11111,11111,11111,unspecified,unspecified,unspecified,Evaluator-coupled artifact search,mismatch reviewed conservatively; freeze label retained
A080,Adaptive Alpha Weighting with PPO: Enhancing Prompt-Based LLM-Generated Alphas in Quant Trading,N,T,N,2,2,2,11111,11111,11111,unspecified,unspecified,unspecified,Evaluator-coupled artifact search,mismatch reviewed conservatively; freeze label retained
A081,Multi-Agent LLM Framework for Formulaic Alpha Generation and Selection in Quantitative Trading,A,T,A,1,1,1,11011,11011,11011,mixed,mixed,mixed,Evaluator-coupled artifact search,mismatch reviewed conservatively; freeze label retained
A082,StockBench: Can LLM Agents Trade Stocks Profitably In Real-world Markets?,T,T,T,1,2,1,11111,11111,11111,unspecified,unspecified,unspecified,Environment and governance substrate,mismatch reviewed conservatively; freeze label retained
