candidate_uid,title,year,authors,venue,canonical_url,canonical_ids,source_pathways,source_names,selection_searches,selection_decisions,selection_rows,snowball_directions,snowball_decisions,snowball_seed_record_ids,snowball_rows,snowball_reason_samples,included_final,linked_record_id,primary_pathway,reconciliation_status
A011,Extending the FAIR Framework: Financial Agentic Systems,2025,Miquel Noguer I Alonso and harry mendell,SSRN,,,seeded_search,SSRN,SSRN,ok (não é trading),1,,,,0,,yes,A011,seeded_search,included_reconciled_seeded_search
A012,Agentic Artificial Intelligence in Finance: A Comprehensive Survey,,"Irene Aldridge, Jolie An, Riley Burke, Michael Cao, Chia-Yi Chien, Kexin Deng, Ruipeng Deng, Yichen Gao, Olivia Guo, Shunran He, Zheng Li, George Lin, Weihang Lin, Fanyi Lyu, Kwunfung Ng, Qi Wang, Hanxi Xiao, Dora Xu, Yuanyuan Xue, Sheng Zhang, Sirui Zhang, Yun Zhang, Sirui Zhao, Xiaolong Zhao, Yihan Zhao and Waner Zheng",SSRN,,,seeded_search,SSRN,SSRN,ok,1,,,,0,,yes,A012,seeded_search,included_reconciled_seeded_search
A013,ProFiT: Program Search for Financial Trading,,"Matthew Siper, Ahmed Khalifa, Lisa Soros, Muhammad Nasir and Julian Togelius",SSRN,,,seeded_search,SSRN,SSRN,ok,1,,,,0,,yes,A013,seeded_search,included_reconciled_seeded_search
A014,Synthetic Managerial Agents: A Multi-LLM Ensemble Framework for Computational Agent-Based Theory Exploration,,"Dequn Teng, Chen Ye and Veronica Martinez",SSRN,,,seeded_search,SSRN,SSRN,ok,1,,,,0,,yes,A014,seeded_search,included_reconciled_seeded_search
A015,EFS: Evolutionary Factor Searching for Sparse Portfolio Optimization Using Large Language Models,2025,"Haochen Luo, Yuan Zhang, Chen Liu",arXiv,,arxiv:2507.17211,seeded_search,Arxiv,Arxiv,ok,1,,,,0,,yes,A015,seeded_search,included_reconciled_seeded_search
A016,HARLF: Hierarchical Reinforcement Learning and Lightweight LLM-Driven Sentiment Integration for Financial Portfolio Optimization,2025,"Benjamin Coriat, Eric Benhamou",IJCAI 2025 FinLLM Workshop / arXiv,,arxiv:2507.18560,seeded_search,Arxiv,Arxiv,ok,1,,,,0,,yes,A016,seeded_search,included_reconciled_seeded_search
A017,Language Model Guided Reinforcement Learning in Quantitative Trading,2025,Adam Darmanin; Vince Vella,arXiv,https://openalex.org/w7130602908,arxiv:2508.02366 | url:https://openalex.org/w7130602908,snowballing,snowballing,,,0,forward,exclude,A023,1,Duplicate/already in corpus as A017 (Language Model Guided Reinforcement Learning in Quantitative Trading).,yes,A017,snowballing,included_reconciled_snowballing
A018,Sentiment-Aware Mean-Variance Portfolio Optimization for Cryptocurrencies,2025,Qizhao Chen,arXiv,https://arxiv.org/abs/2508.16378,arxiv:2508.16378 | url:https://arxiv.org/abs/2508.16378,seeded_search,Arxiv,Arxiv,ok,1,,,,0,,yes,A018,seeded_search,included_reconciled_seeded_search
A019,QuantAgent: Price-Driven Multi-Agent LLMs for High-Frequency Trading,2025,"Xiong, Z.; Li, Y.; Li, H.; et al.",arXiv,,arxiv:2509.09995,direct_import,direct_import,,,0,,,,0,,yes,A019,direct_import,included_reconciled_direct_import
A020,From Text to Returns: Using Large Language Models for Mutual Fund Portfolio Optimization and Risk-Adjusted Allocation,2025,"Abrar Hossain, Mufakir Qamar Ansari, Haziq Jeelani, Monia Digra, Fayeq Jeelani Syed",arXiv,,arxiv:2512.05907,seeded_search,Arxiv,Arxiv,ok,1,,,,0,,yes,A020,seeded_search,included_reconciled_seeded_search
A021,WebCryptoAgent: Agentic Crypto Trading with Web Informatics,2026,Yitong Li; Wei Lu; Zihang Meng; Weiqing Liu; Pengfei Tan; Qingwei Lin; Tao Qin; Weidong Bao; Weidong Ma,arXiv,https://finllm.github.io/workshop2025/papers/webcryptoagent.pdf,arxiv:2601.04687 | url:https://finllm.github.io/workshop2025/papers/webcryptoagent.pdf,seeded_search,"FinLLM 2025 IJCAI 2025, Nagoya",FinLLM,ok,1,,,,0,,yes,A021,seeded_search,included_reconciled_seeded_search
A022,TradingGPT: Multi-Agent System with Layered Memory and Distinct Characters for Enhanced Financial Trading Performance,2023,"Xiao, Y.; et al.",arXiv,,arxiv:2309.03736,direct_import,direct_import,,,0,,,,0,,yes,A022,direct_import,included_reconciled_direct_import
A023,FinMem: A Performance-Enhanced LLM Trading Agent with Layered Memory and Character Design,2024,Yangyang Yu; Haohang Li; Zhi Chen; Yuechen Jiang; Yang Li; Denghui Zhang; Rong Liu; Jordan W. Suchow; Khaldoun Khashanah,arXiv,https://openalex.org/w4398160938,arxiv:2311.13743 | url:https://arxiv.org/abs/2311.13743 | url:https://openalex.org/w4398160938 | url:https://openalex.org/w4412939561,snowballing,snowballing,,,0,backward | forward,exclude | include,A021 | A028 | A043,3,Duplicate/already in corpus as A023 (FinMem). | Imported as A023,yes,A023,snowballing,included_reconciled_snowballing
A024,TradingAgents: Multi-Agents LLM Financial Trading Framework,2024,"Xiao, Y.; Sun, E.; Luo, D.; Wang, W. (2024)",arXiv,https://arxiv.org/abs/2412.20138,arxiv:2412.20138 | url:https://arxiv.org/abs/2412.20138,snowballing,snowballing,,,0,backward,include,A019 | A021,2,Imported as A024,yes,A024,snowballing,included_reconciled_snowballing
A025,Alpha-GPT: Human-AI Interactive Alpha Mining for Quantitative Investment,2023,"Wang, S.; Yuan, H.; Zhou, L.; Ni, L.M.; Shum, H.-Y.; Guo, J. (2023)",arXiv,https://arxiv.org/abs/2308.00016,arxiv:2308.00016 | url:https://arxiv.org/abs/2308.00016,snowballing,snowballing,,,0,backward,include,A015 | A021,2,Imported as A025,yes,A025,snowballing,included_reconciled_snowballing
A026,QuantAgent: Seeking Holy Grail in Trading by Self-Improving Large Language Model,2024,"Wang, S.; Yuan, H.; Ni, L.M.; Guo, J. (2024)",arXiv,https://arxiv.org/abs/2402.03755,arxiv:2402.03755 | url:https://arxiv.org/abs/2402.03755,snowballing,snowballing,,,0,backward,include,A021,1,Imported as A026,yes,A026,snowballing,included_reconciled_snowballing
A027,BloombergGPT: A Large Language Model for Finance,2023,"Wu, S.; Irsoy, O.; Lu, S.; Dabravolski, V.; Dredze, M.; Gehrmann, S.; Kambadur, P.; Rosenberg, D.; Mann, G. (2023)",arXiv,https://arxiv.org/abs/2303.17564,arxiv:2303.17564 | url:https://arxiv.org/abs/2303.17564,snowballing,snowballing,,,0,backward,include,A021,1,Imported as A027,yes,A027,snowballing,included_reconciled_snowballing
A028,FinGPT: Open-Source Financial Large Language Models,2023,"Yang, H.; Liu, X.-Y.; Wang, C.D. (2023)",arXiv / FinLLM 2023 Workshop (IJCAI 2023),https://arxiv.org/abs/2306.06031,arxiv:2306.06031 | url:https://arxiv.org/abs/2306.06031,snowballing,snowballing,,,0,backward,include,A019 | A021,2,Imported as A028,yes,A028,snowballing,included_reconciled_snowballing
A029,Instruct-FinGPT: Financial Sentiment Analysis by Instruction Tuning of General-Purpose Large Language Models,2023,"Zhang, B.; Yang, H.; Liu, X.-Y. (2023)",arXiv,https://arxiv.org/abs/2306.12659,arxiv:2306.12659 | url:https://arxiv.org/abs/2306.12659,snowballing,snowballing,,,0,backward,include,A021,1,Imported as A029,yes,A029,snowballing,included_reconciled_snowballing
A030,Alpha-GPT 2.0: Human-in-the-Loop AI for Quantitative Investment,2024,"Yuan, H.; Wang, S.; Guo, J. (2024)",arXiv (draft),https://arxiv.org/abs/2402.09746,arxiv:2402.09746 | url:https://arxiv.org/abs/2402.09746,snowballing,snowballing,,,0,backward,include,A015,1,Imported as A030,yes,A030,snowballing,included_reconciled_snowballing
A031,Evolving Financial Trading Strategies with Vectorial Genetic Programming,2025,"Menoita, R.; Silva, S. (2025)",arXiv,https://arxiv.org/abs/2504.05418,arxiv:2504.05418 | url:https://arxiv.org/abs/2504.05418,snowballing,snowballing,,,0,backward,include,A013,1,Imported as A031,yes,A031,snowballing,included_reconciled_snowballing
A032,Navigating the Alpha Jungle: An LLM-Powered MCTS Framework for Formulaic Factor Mining,2025,"Shi, Y.; Duan, Y.; Li, J. (2025)",arXiv,https://arxiv.org/abs/2505.11122,arxiv:2505.11122 | url:https://arxiv.org/abs/2505.11122,snowballing,snowballing,,,0,backward,include,A015,1,Imported as A032,yes,A032,snowballing,included_reconciled_snowballing
A033,"PIXIU: A Large Language Model, Instruction Data and Evaluation Benchmark for Finance",2023,"Xie, Q.; Han, W.; Zhang, X.; Lai, Y.; Peng, M.; Lopez-Lira, A.; Huang, J. (2023)",arXiv,https://arxiv.org/abs/2306.05443,arxiv:2306.05443 | url:https://arxiv.org/abs/2306.05443,snowballing,snowballing,,,0,backward,include,A021,1,Imported as A033,yes,A033,snowballing,included_reconciled_snowballing
A034,Qlib: An AI-oriented Quantitative Investment Platform,2020,"Yang, X.; Liu, W.; Zhou, D.; Bian, J.; Liu, T.-Y. (2020)",arXiv,https://arxiv.org/abs/2009.11189,arxiv:2009.11189 | url:https://arxiv.org/abs/2009.11189,snowballing,snowballing,,,0,backward,include,A015,1,Imported as A034,yes,A034,snowballing,included_reconciled_snowballing
A035,Reflexion: Language Agents with Verbal Reinforcement Learning,2023,"Shinn, N.; Cassano, F.; Berman, E.; Gopinath, A.; Narasimhan, K.; Yao, S. (2023)",arXiv,https://arxiv.org/abs/2303.11366,arxiv:2303.11366 | url:https://arxiv.org/abs/2303.11366,snowballing,snowballing,,,0,backward,include,A021,1,Imported as A035,yes,A035,snowballing,included_reconciled_snowballing
A036,"BBT-Fin: Comprehensive Construction of Chinese Financial Domain Pre-trained Language Model, Corpus and Benchmark",2023,"Lu, D.; Wu, H.; Liang, J.; Xu, Y.; He, Q.; Geng, Y.; Han, M.; Xin, Y.; Xiao, Y. (2023)",arXiv,https://arxiv.org/abs/2302.09432,arxiv:2302.09432 | url:https://arxiv.org/abs/2302.09432,snowballing,snowballing,,,0,backward,include,A021,1,Imported as A036,yes,A036,snowballing,included_reconciled_snowballing
A037,"A Survey of Large Language Models for Financial Applications: Progress, Prospects and Challenges",2024,"Nie, Y.; Kong, Y.; Dong, X.; Mulvey, J.M.; Poor, H.V.; Wen, Q.; Zohren, S. (2024)",arXiv,https://arxiv.org/abs/2406.11903,arxiv:2406.11903 | url:https://arxiv.org/abs/2406.11903,snowballing,snowballing,,,0,backward,include,A015,1,Imported as A037,yes,A037,snowballing,included_reconciled_snowballing
A038,Temporal Data Meets LLM: Explainable Financial Time Series Forecasting,2023,"Yu, X.; Chen, Z.; Ling, Y.; Dong, S.; Liu, Z.; Lu, Y. (2023)",arXiv,https://arxiv.org/abs/2306.11025,arxiv:2306.11025 | url:https://arxiv.org/abs/2306.11025,snowballing,snowballing,,,0,backward,include,A015,1,Imported as A038,yes,A038,snowballing,included_reconciled_snowballing
A039,AutoAlpha: an Efficient Hierarchical Evolutionary Algorithm for Mining Alpha Factors in Quantitative Investment,2020,"Zhang, T.; Li, Y.; Jin, Y.; Li, J. (2020)",arXiv,https://arxiv.org/abs/2002.08245,arxiv:2002.08245 | url:https://arxiv.org/abs/2002.08245,snowballing,snowballing,,,0,backward,include,A015,1,Imported as A039,yes,A039,snowballing,included_reconciled_snowballing
A040,XuanYuan 2.0: A Large Chinese Financial Chat Model with Hundreds of Billions Parameters,2023,"Zhang, X.; Yang, Q.; Xu, D. (2023)",arXiv,https://arxiv.org/abs/2305.12002,arxiv:2305.12002 | url:https://arxiv.org/abs/2305.12002,snowballing,snowballing,,,0,backward,include,A021,1,Imported as A040,yes,A040,snowballing,included_reconciled_snowballing
A041,Can Large Language Models Mine Interpretable Financial Factors More Effectively? A Neural-Symbolic Factor Mining Agent Model,2024,"Li, Z.; Song, R.; Sun, C.; Xu, W.; Yu, Z.; Wen, J.-R. (2024)",Findings of ACL,https://aclanthology.org/2024.findings-acl.233,aclan:2024.findings-acl.233 | doi:10.18653/v1/2024.findings-acl.233 | url:https://aclanthology.org/2024.findings-acl.233,snowballing,snowballing,,,0,backward,include,A015,1,Imported as A041,yes,A041,snowballing,included_reconciled_snowballing
A042,AlphaForge: A Framework to Mine and Dynamically Combine Formulaic Alpha Factors,2025,"Shi, H.; Song, W.; Zhang, X.; Shi, J.; Luo, C.; Ao, X.; Arian, H.; Seco, L.A. (2025)",AAAI,https://ojs.aaai.org/index.php/aaai/article/view/33365,doi:10.1609/aaai.v39i12.33365 | url:https://doi.org/10.1609/aaai.v39i12.33365 | url:https://ojs.aaai.org/index.php/aaai/article/view/33365,snowballing,snowballing,,,0,backward,include,A015,2,Imported as A042,yes,A042,snowballing,included_reconciled_snowballing
A043,FinRL-Meta: Market Environments and Benchmarks for Data-Driven Financial Reinforcement Learning,2022,"Liu, X.-Y.; Xia, Z.; Rui, J.; Gao, J.; Yang, H.; Zhu, M.; Wang, C.D.; Wang, Z.; Guo, J. (2022)",NeurIPS,https://arxiv.org/abs/2211.03107,arxiv:2211.03107 | url:https://arxiv.org/abs/2211.03107,snowballing,snowballing,,,0,backward,include,A019,1,Imported as A043,yes,A043,snowballing,included_reconciled_snowballing
A044,FinVis-GPT: A Multimodal Large Language Model for Financial Chart Analysis,2023,"Wang, Z.; Li, Y.; Wu, J.; Soon, J.; Zhang, X. (2023)",arXiv,https://arxiv.org/abs/2308.01430,arxiv:2308.01430 | url:https://arxiv.org/abs/2308.01430,snowballing,snowballing,,,0,backward,include,A019,1,Imported as A044,yes,A044,snowballing,included_reconciled_snowballing
A045,GPT-Signal: Generative AI for Semi-automated Feature Engineering in the Alpha Research Process,2024,"Wang, Y.; Zhao, J.; Lawryshyn, Y. (2024)",FinNLP Workshop,https://aclanthology.org/2024.finnlp-2.4,aclan:2024.finnlp-2.4 | doi:10.18653/v1/2024.finnlp-2.4 | url:https://aclanthology.org/2024.finnlp-2.4,snowballing,snowballing,,,0,backward,include,A015,1,Imported as A045,yes,A045,snowballing,included_reconciled_snowballing
A046,FinTral: A Family of GPT-4 Level Multimodal Financial Large Language Models,2024,"Bhatia, G.; Nagoudi, E.M.B.; Cavusoglu, H.; Abdul-Mageed, M. (2024)",Findings of ACL,https://aclanthology.org/2024.findings-acl.774,aclan:2024.findings-acl.774 | doi:10.18653/v1/2024.findings-acl.774 | url:https://aclanthology.org/2024.findings-acl.774 | url:https://doi.org/10.18653/v1/2024.findings-acl.774,snowballing,snowballing,,,0,backward,include,A015,2,Imported as A046,yes,A046,snowballing,included_reconciled_snowballing
A047,Autonomous Sparse Mean-CVaR Portfolio Optimization,2024,"Lin, Y.; Zhang, Y.; Lai, Z.-R.; Li, C. (2024)",ICML (PMLR),https://proceedings.mlr.press/v235/lin24w.html,url:https://proceedings.mlr.press/v235/lin24w.html,snowballing,snowballing,,,0,backward,include,A015,1,Imported as A047,yes,A047,snowballing,included_reconciled_snowballing
A048,Revolutionizing Finance with LLMs: An Overview of Applications and Insights,2025,"Zhao, H.; Liu, Z.; Wu, Z.; Li, Y.; Yang, T.; Shu, P.; Xu, S.; Dai, H.; Zhao, L.; Jiang, H.; Pan, Y.; Chen, J.; Zhou, Y.; Ruan, W.; Zhang, Z.; Sun, R.; Mai, G.; Liu, N.; Liu, T. (2025)",arXiv,https://arxiv.org/abs/2401.11641,arxiv:2401.11641 | url:https://arxiv.org/abs/2401.11641,snowballing,snowballing,,,0,backward,include,A015,1,Imported as A048,yes,A048,snowballing,included_reconciled_snowballing
A049,Advanced Deep Learning Techniques for Analyzing Earnings Call Transcripts: Methodologies and Applications,2025,"Abowath, U.Z.; Daykin, E.; Diagne, A.; Faile, J. (2025)",arXiv,https://arxiv.org/abs/2503.01886,arxiv:2503.01886 | url:https://arxiv.org/abs/2503.01886,snowballing,snowballing,,,0,backward,include,A019,1,Imported as A049,yes,A049,snowballing,included_reconciled_snowballing
A050,FinVision: A Multi-Agent Framework for Stock Market Prediction,2024,Sorouralsadat Fatemi; Yuheng Hu,Proceedings of the 5th ACM International Conference on AI in Finance,https://openalex.org/w4404369585,doi:10.1145/3677052.3698688 | url:https://openalex.org/w4404369585,snowballing,snowballing,,,0,forward,include,A023,1,Imported as A050,yes,A050,snowballing,included_reconciled_snowballing
A051,FinSphere: a real-time stock analysis agent with instruction-tuned large language models and domain-specific tool integration,2025,Shijie Han; J.W. Zhang; Yiqing Shen; Kang Yan; Hongguang Li,Frontiers of Information Technology & Electronic Engineering,https://openalex.org/w4415938969,doi:10.1631/fitee.2500414 | url:https://doi.org/10.1631/fitee.2500414 | url:https://openalex.org/w4415938969,snowballing,snowballing,,,0,forward,include,A023 | A037 | A048,3,Imported as A051,yes,A051,snowballing,included_reconciled_snowballing
A052,Adaptive and Explainable Margin Trading via Large Language Models on Portfolio Management,2024,Jingyi Gu; Junyi Ye; Guiling Wang; Wenpeng Yin,Proceedings of the 5th ACM International Conference on AI in Finance,https://openalex.org/w4404369452,doi:10.1145/3677052.3698681 | url:https://openalex.org/w4404369452,snowballing,snowballing,,,0,forward,include,A023,1,Imported as A052,yes,A052,snowballing,included_reconciled_snowballing
A053,Automated Trading Framework Using LLM-Driven Features and Deep Reinforcement Learning,2025,Ive Botunac; Tomislav Petković; Jurica Bosna,Big Data and Cognitive Computing,https://openalex.org/w4417231658,doi:10.3390/bdcc9120317 | url:https://doi.org/10.3390/bdcc9120317 | url:https://openalex.org/w4417231658,snowballing,snowballing,,,0,forward,include,A023,1,Imported as A053,yes,A053,snowballing,included_reconciled_snowballing
A054,"Large Language Model Agents for Investment Management: Foundations, Benchmarks, and Research Frontiers",2025,P. Saha; Jingrao Lyu; A. Saxena; Tianjiao Zhao; Dhagash Mehta,Proceedings of the 6th ACM International Conference on AI in Finance,https://openalex.org/w4416195096,doi:10.1145/3768292.3770387 | url:https://openalex.org/w4416195096,snowballing,snowballing,,,0,forward,include,A023,1,Imported as A054,yes,A054,snowballing,included_reconciled_snowballing
A055,Language Model Orchestrated Financial Agents: An Open-Source Framework,2025,Ravi Teja Gundimeda,2025 IEEE 4th International Conference for Advancement in Technology (ICONAT),https://openalex.org/w7126245069,doi:10.1109/iconat66879.2025.11362528 | url:https://doi.org/10.1109/iconat66879.2025.11362528 | url:https://openalex.org/w7126245069,snowballing,snowballing,,,0,forward,include,A046,1,Imported as A055,yes,A055,snowballing,included_reconciled_snowballing
A056,Stock portfolio selection based on risk appetite: Evidence from ChatGPT,2025,Constantin J. Schneider; Yahya Yilmaz,Finance Research Letters,https://openalex.org/w4410487746,doi:10.1016/j.frl.2025.107517 | url:https://doi.org/10.1016/j.frl.2025.107517 | url:https://openalex.org/w4410487746,snowballing,snowballing,,,0,forward,include,A004 | A037,2,Imported as A056,yes,A056,snowballing,included_reconciled_snowballing
A058,Harnessing ChatGPT for predictive financial factor generation: A new frontier in financial analysis and forecasting,2024,Yuhan Cheng; Y. Zeng; Jie Zou,The British Accounting Review,https://openalex.org/w4403587370,doi:10.1016/j.bar.2024.101507 | url:https://doi.org/10.1016/j.bar.2024.101507 | url:https://openalex.org/w4403587370,snowballing,snowballing,,,0,forward,include,A025 | A033 | A038,3,Imported as A058,yes,A058,snowballing,included_reconciled_snowballing
A059,RA-CFGPT: Chinese financial assistant with retrieval-augmented large language model,2024,Jiangtong Li; Lei Yang; Yuxuan Bian; Dawei Cheng; Zhijun Ding; Changjun Jiang,Frontiers of Computer Science,https://openalex.org/w4399391277,doi:10.1007/s11704-024-31018-5 | url:https://doi.org/10.1007/s11704-024-31018-5 | url:https://openalex.org/w4399391277,snowballing,snowballing,,,0,forward,include,A028 | A040,2,Imported as A059,yes,A059,snowballing,included_reconciled_snowballing
A060,Finance-specific large language models: Advancing sentiment analysis and return prediction with LLaMA 2,2024,I-Ming Chiu; Mao‐Wei Hung,Pacific-Basin Finance Journal,https://openalex.org/w4405310541,doi:10.1016/j.pacfin.2024.102632 | url:https://doi.org/10.1016/j.pacfin.2024.102632 | url:https://openalex.org/w4405310541,snowballing,snowballing,,,0,forward,include,A033,1,Imported as A060,yes,A060,snowballing,included_reconciled_snowballing
A061,A Two-Stage Framework for Stock Price Prediction: LLM-Based Forecasting with Risk-Aware PPO Adjustment,2025,Qizhao Chen,Journal of Computer and Communications,https://openalex.org/w4409849257,doi:10.4236/jcc.2025.134008 | url:https://doi.org/10.4236/jcc.2025.134008 | url:https://openalex.org/w4409849257,snowballing,snowballing,,,0,forward,include,A033,1,Imported as A061,yes,A061,snowballing,included_reconciled_snowballing
A062,Parallel Market Environments for FinRL Contests,2025,Keyi Wang; Kairong Xiao; Xiao-Yang Liu Yanglet,2025 IEEE International Conference on Intelligent Data and Security (IDS),https://openalex.org/w4411447327,doi:10.1109/ids66066.2025.00021 | url:https://doi.org/10.1109/ids66066.2025.00021 | url:https://openalex.org/w4411447327,snowballing,snowballing,,,0,forward,include,A037 | A043,2,Imported as A062,yes,A062,snowballing,included_reconciled_snowballing
A063,Leveraging Large Language Models for Institutional Portfolio Management: Persona-Based Ensembles,2024,Yoshiteru Abe; Sadao Matsuo; Ryoma Kondo; Ryohei Hisano,IEEE Big Data,https://openalex.org/w4406458180,doi:10.1109/bigdata62323.2024.10825362 | url:https://doi.org/10.1109/bigdata62323.2024.10825362 | url:https://openalex.org/w4406458180,snowballing,snowballing,,,0,forward,include,A037,1,Imported as A063,yes,A063,snowballing,included_reconciled_snowballing
A064,FinRL Contests: Data‐Driven Financial Reinforcement Learning Agents for Stock and Crypto Trading,2025,Keyi Wang; Nikolaus Holzer; Ziyi Xia; Yupeng Cao; Jiechao Gao; Anwar Walid; Kairong Xiao; Xiao‐Yang Liu Yanglet,Artificial Intelligence for Engineering,https://openalex.org/w4414039849,doi:10.1049/aie2.12004 | url:https://doi.org/10.1049/aie2.12004 | url:https://openalex.org/w4414039849,snowballing,snowballing,,,0,forward,include,A037 | A043,2,Imported as A064,yes,A064,snowballing,included_reconciled_snowballing
A065,Customized FinGPT Search Agents Using Foundation Models,2024,Xiao-Yang Liu,Proceedings of the 5th ACM International Conference on AI in Finance,https://openalex.org/w4405366593,doi:10.1145/3677052.3698637 | url:https://openalex.org/w4405366593,snowballing,snowballing,,,0,forward,include,A037,1,Imported as A065,yes,A065,snowballing,included_reconciled_snowballing
A066,"Vision, Voice, and Text: Pioneering Zero-shot Multimodal LLMs for Sentiment-driven Investment",2025,S. M. Tan; Chi Chiu So; Y. Z. Sun; Jun‐Min Wang; Anthony Wai-keung Loh; Siu Pang Yung,ICAIF 2025 - 6th ACM International Conference on AI in Finance,https://openalex.org/w4416195473,doi:10.1145/3768292.3770368 | url:https://doi.org/10.1145/3768292.3770368 | url:https://openalex.org/w4416195473,snowballing,snowballing,,,0,forward,include,A046,1,Imported as A066,yes,A066,snowballing,included_reconciled_snowballing
A067,FinMCP-Bench: Benchmarking LLM Agents for Real-World Financial Tool Use under the Model Context Protocol,2026,"Zhu, J.; Tian, Y.; Li, B.; Wu, K.; Liang, Z.; Li, J.; Zhang, X.; Guo, L.; Chen, F.; Liu, Y.; Zhang, C.",arXiv,https://arxiv.org/abs/2603.24943v1,arxiv:2603.24943 | url:https://arxiv.org/abs/2603.24943v1,direct_import,direct_import,,,0,,,,0,,yes,A067,direct_import,included_reconciled_direct_import
DOI_10.18653_V1_2023.EMNLP-INDUSTRY.69,,,,,https://aclanthology.org/2023.emnlp-industry.69,aclan:2023.emnlp-industry.69 | doi:10.18653/v1/2023.emnlp-industry.69 | url:https://aclanthology.org/2023.emnlp-industry.69 | url:https://doi.org/10.18653/v1/2023.emnlp-industry.69,snowballing,snowballing,,,0,backward,include,A015,2,Duplicate/published version of A038 (arXiv:2306.11025),no,,snowballing,screened_duplicate_version
